session,experiment,rolling_63d_correlation
2020-04-08,S00,0.3621383352684989
2020-04-09,S00,0.3660714582816035
2020-04-13,S00,0.36386417032230706
2020-04-14,S00,0.3666387962773631
2020-04-15,S00,0.36539403968416606
2020-04-16,S00,0.36662066051106657
2020-04-17,S00,0.36698492068920935
2020-04-20,S00,0.36717057670344105
2020-04-21,S00,0.36519969142266845
2020-04-22,S00,0.36461558643149616
2020-04-23,S00,0.3645403925576678
2020-04-24,S00,0.36028975987883877
2020-04-27,S00,0.3578630778970465
2020-04-28,S00,0.35810962056184836
2020-04-29,S00,0.3358003704785492
2020-04-30,S00,0.33333198743583387
2020-05-01,S00,0.3171399903853357
2020-05-04,S00,0.32136581640664924
2020-05-05,S00,0.3257256293151157
2020-05-06,S00,0.3235408268622887
2020-05-07,S00,0.3229900483264465
2020-05-08,S00,0.32189327115271493
2020-05-11,S00,0.32270996571108346
2020-05-12,S00,0.31808798966107416
2020-05-13,S00,0.31338084180964215
2020-05-14,S00,0.3151534447226586
2020-05-15,S00,0.31541610855807917
2020-05-18,S00,0.32286391269245496
2020-05-19,S00,0.3235206955760191
2020-05-20,S00,0.32251111882287814
2020-05-21,S00,0.3229702972241144
2020-05-22,S00,0.32414873628591173
2020-05-26,S00,0.3157124744022672
2020-05-27,S00,0.31276458548938574
2020-05-28,S00,0.3146255480575467
2020-05-29,S00,0.31519475132708014
2020-06-01,S00,0.3409169473773626
2020-06-02,S00,0.340932928594965
2020-06-03,S00,0.356003236491645
2020-06-04,S00,0.34870937715340306
2020-06-05,S00,0.3318264041857964
2020-06-08,S00,0.28730261537024476
2020-06-09,S00,0.28578119292678933
2020-06-10,S00,0.25415064867396897
2020-06-11,S00,0.16666072600564558
2020-06-12,S00,0.2088963661136451
2020-06-15,S00,0.14218952476106114
2020-06-16,S00,0.20144506978583732
2020-06-17,S00,0.04403223613545276
2020-06-18,S00,-0.00618901002432683
2020-06-19,S00,0.060902470612670026
2020-06-22,S00,0.07813408316038731
2020-06-23,S00,-0.008408047061568518
2020-06-24,S00,-0.045653940012673165
2020-06-25,S00,-0.11255329377988431
2020-06-26,S00,-0.12564687979538802
2020-06-29,S00,-0.14150838871047025
2020-06-30,S00,-0.12986538467740916
2020-07-01,S00,-0.1629593638209291
2020-07-02,S00,-0.15688951092722828
2020-07-06,S00,-0.18506138188342958
2020-07-07,S00,-0.32104813495247003
2020-07-08,S00,-0.3279652869022269
2020-07-09,S00,-0.34616585388666854
2020-07-10,S00,-0.36872327609435357
2020-07-13,S00,-0.3718282780610738
2020-07-14,S00,-0.3937983361239073
2020-07-15,S00,-0.39066060593299184
2020-07-16,S00,-0.38784925232607714
2020-07-17,S00,-0.4021444668347309
2020-07-20,S00,-0.41239802941345666
2020-07-21,S00,-0.4315170269442089
2020-07-22,S00,-0.4390360268436354
2020-07-23,S00,-0.42993462276451905
2020-07-24,S00,-0.4241144740545443
2020-07-27,S00,-0.4200513935942493
2020-07-28,S00,-0.42127524463102095
2020-07-29,S00,-0.3886975397003185
2020-07-30,S00,-0.3783870887936672
2020-07-31,S00,-0.3353432410369089
2020-08-03,S00,-0.3373712476902864
2020-08-04,S00,-0.34060559256964884
2020-08-05,S00,-0.3483485810184518
2020-08-06,S00,-0.348311675139936
2020-08-07,S00,-0.35067967413478207
2020-08-10,S00,-0.3522170803579337
2020-08-11,S00,-0.33555569332699836
2020-08-12,S00,-0.3038232719162282
2020-08-13,S00,-0.3186195687925519
2020-08-14,S00,-0.3170577649328029
2020-08-17,S00,-0.3906795684273059
2020-08-18,S00,-0.39519858850310935
2020-08-19,S00,-0.4005773619395764
2020-08-20,S00,-0.4075332077000465
2020-08-21,S00,-0.4077209610421906
2020-08-24,S00,-0.3844321124709475
2020-08-25,S00,-0.37768363326237886
2020-08-26,S00,-0.38380197633914465
2020-08-27,S00,-0.38777543539616455
2020-08-28,S00,-0.3874819196858558
2020-08-31,S00,-0.3835284410407462
2020-09-01,S00,-0.37382199550550516
2020-09-02,S00,-0.37291535883335897
2020-09-03,S00,-0.31107678132608513
2020-09-04,S00,-0.29370279935926796
2020-09-08,S00,-0.13173435480079848
2020-09-09,S00,-0.05930650769433452
2020-09-10,S00,0.13502803361065377
2020-09-11,S00,0.17001218578139418
2020-09-14,S00,0.16322274473880666
2020-09-15,S00,0.1427217604597807
2020-09-16,S00,0.15008178107700704
2020-09-17,S00,0.14223098028489442
2020-09-18,S00,0.16064232102911985
2020-09-21,S00,0.12062996717404682
2020-09-22,S00,0.1253985526915693
2020-09-23,S00,0.05493320234074485
2020-09-24,S00,0.06556850734980237
2020-09-25,S00,0.11176240068519094
2020-09-28,S00,0.10927898334102275
2020-09-29,S00,0.11016496146176569
2020-09-30,S00,0.10939418904026964
2020-10-01,S00,0.1116987336626144
2020-10-02,S00,0.1605806291865573
2020-10-05,S00,0.1577742085885696
2020-10-06,S00,0.1722541147933625
2020-10-07,S00,0.17098232993643714
2020-10-08,S00,0.17963126245631653
2020-10-09,S00,0.2286127357477876
2020-10-12,S00,0.23415484985288718
2020-10-13,S00,0.21793995171965475
2020-10-14,S00,0.21271464379161328
2020-10-15,S00,0.2128207182016265
2020-10-16,S00,0.21348121151807792
2020-10-19,S00,0.21145389380762494
2020-10-20,S00,0.21177435031232617
2020-10-21,S00,0.20785498785642617
2020-10-22,S00,0.20607570983394227
2020-10-23,S00,0.20299806355228114
2020-10-26,S00,0.18089306388858103
2020-10-27,S00,0.18639184880858972
2020-10-28,S00,0.2089588525495075
2020-10-29,S00,0.20788263478091507
2020-10-30,S00,0.20408389912373678
2020-11-02,S00,0.1958553422136591
2020-11-03,S00,0.19196719395342915
2020-11-04,S00,0.22496594517039822
2020-11-05,S00,0.23082016341095818
2020-11-06,S00,0.23164140888220533
2020-11-09,S00,0.2304581312916487
2020-11-10,S00,0.20395822218376364
2020-11-11,S00,0.22885789013274244
2020-11-12,S00,0.21481760758214374
2020-11-13,S00,0.17638009428255866
2020-11-16,S00,0.14363194796911558
2020-11-17,S00,0.13205960542465497
2020-11-18,S00,0.10223726878598026
2020-11-19,S00,0.10307776102348695
2020-11-20,S00,0.09808274079070353
2020-11-23,S00,0.08212627145921522
2020-11-24,S00,0.09261501537491978
2020-11-25,S00,0.09274327296300197
2020-11-27,S00,0.0946587627716213
2020-11-30,S00,0.0893740405688044
2020-12-01,S00,0.1041590412170282
2020-12-02,S00,0.08962426154880465
2020-12-03,S00,0.09495219004529766
2020-12-04,S00,0.09539192986132156
2020-12-07,S00,-0.05339465495594374
2020-12-08,S00,-0.10985060658842033
2020-12-09,S00,-0.11726011642017467
2020-12-10,S00,-0.11468844746545744
2020-12-11,S00,-0.10571026268595639
2020-12-14,S00,-0.0989043063849896
2020-12-15,S00,-0.12220601499925675
2020-12-16,S00,-0.1192847419892715
2020-12-17,S00,-0.15556773573878346
2020-12-18,S00,-0.12292866553949923
2020-12-21,S00,-0.12392489911746374
2020-12-22,S00,-0.0447359357813287
2020-12-23,S00,-0.04822290544741763
2020-12-24,S00,-0.06311207089934821
2020-12-28,S00,-0.05573714873241259
2020-12-29,S00,-0.06504308125664358
2020-12-30,S00,-0.06556058547284248
2020-12-31,S00,-0.06780902157620144
2021-01-04,S00,-0.055868591262217826
2021-01-05,S00,-0.0586062881042968
2021-01-06,S00,-0.07320932098439195
2021-01-07,S00,-0.07400250899104818
2021-01-08,S00,-0.07225254888244445
2021-01-11,S00,-0.06759645719370416
2021-01-12,S00,-0.06220660894900344
2021-01-13,S00,-0.057972164970684685
2021-01-14,S00,-0.04459120883494608
2021-01-15,S00,-0.0670773972267348
2021-01-19,S00,-0.0856135828985895
2021-01-20,S00,-0.08748485783689933
2021-01-21,S00,-0.0866962965758758
2021-01-22,S00,-0.08715949499346026
2021-01-25,S00,-0.08902707123820609
2021-01-26,S00,-0.08130012886083259
2021-01-27,S00,-0.011913735363056592
2021-01-28,S00,0.03276219631391345
2021-01-29,S00,-0.0005350569242734202
2021-02-01,S00,0.03061595264762832
2021-02-02,S00,0.08715215489536304
2021-02-03,S00,0.0933061997627643
2021-02-04,S00,0.10433824608426114
2021-02-05,S00,0.06793089075798106
2021-02-08,S00,0.04485402126485414
2021-02-09,S00,0.04006309782852966
2021-02-10,S00,0.03198845048373349
2021-02-11,S00,0.04115042702497236
2021-02-12,S00,0.02202304625385827
2021-02-16,S00,0.03981327620872655
2021-02-17,S00,0.08325796574522648
2021-02-18,S00,0.13215432727822984
2021-02-19,S00,0.13357438092002008
2021-02-22,S00,0.21202546420266216
2021-02-23,S00,0.21477333771844612
2021-02-24,S00,0.20896021126859782
2021-02-25,S00,0.26353727993932363
2021-02-26,S00,0.24499466436765752
2021-03-01,S00,0.2848186213040448
2021-03-02,S00,0.3003337179849638
2021-03-03,S00,0.34750797299294456
2021-03-04,S00,0.33259702979534395
2021-03-05,S00,0.30588698236699446
2021-03-08,S00,0.31394889543446436
2021-03-09,S00,0.35757623679027833
2021-03-10,S00,0.3564197193507328
2021-03-11,S00,0.3543565215607942
2021-03-12,S00,0.3772162912725533
2021-03-15,S00,0.38357702415426176
2021-03-16,S00,0.3832700799295275
2021-03-17,S00,0.3809645206254607
2021-03-18,S00,0.40176329621257545
2021-03-19,S00,0.40084290238912484
2021-03-22,S00,0.38990138429655097
