session,eligible_assets,gross,net,turnover,expected_return,variance,objective,max_factor_exposure,exposure_equity,exposure_duration,exposure_credit,exposure_commodity,exposure_usd
2013-01-02,19,0.6395258902295167,1.3877787807814457e-17,0.005492970386181999,0.00032041651057722456,3.23205582487936e-06,0.00024183180835811696,2.983724378680108e-16,7.243028317327754e-18,-2.983724378680108e-16,6.938893903907228e-18,2.2558799595487622e-18,-1.0408340855860843e-17
2013-01-09,19,0.5174870759107588,-3.2977093278319103e-15,0.1747241599362908,0.00022959503083326704,2.249093828243529e-06,0.00013359902324156008,4.538036613155327e-15,3.005983112685468e-17,-4.538036613155327e-15,-9.71445146547012e-17,1.522325815323147e-16,6.158268339717665e-17
2013-01-16,19,0.5175614802087112,1.240327285323417e-16,0.005583768422123358,0.00012238687198362757,2.226488083232303e-06,6.050727776353504e-05,2.983724378680108e-16,1.480463640934109e-17,-2.983724378680108e-16,6.938893903907228e-18,-4.596419399250702e-18,8.673617379884035e-19
2013-01-24,19,0.46812659382251864,1.2698175844150228e-15,0.1720441734534477,0.00015365693249707208,1.8189380647026236e-06,6.504967322465473e-05,1.817990202823694e-15,-1.3470896769710418e-16,-1.817990202823694e-15,-2.3592239273284576e-16,-2.3762664630509198e-17,3.9898639947466563e-17
2013-01-31,19,0.584770049678434,1.180566061576016e-14,0.24982691089373338,0.00024789877125452414,3.033740589022918e-06,0.00012602125016749184,1.2351231148954867e-15,-6.119086299215373e-17,1.2351231148954867e-15,-2.706168622523819e-16,8.631613432144386e-17,7.979727989493313e-17
2013-02-07,19,0.5821554071949964,-2.0816681711721685e-17,0.0019465224827107154,0.00022562572923700015,2.9598290206213485e-06,0.0001546135645897865,4.163336342344337e-17,-3.944780978574674e-18,-4.163336342344337e-17,-1.3877787807814457e-17,4.496889889416444e-18,-7.806255641895632e-18
2013-02-14,19,0.5787628678435602,-8.673617379884035e-19,0.0030976270080059175,0.00019788595623473982,2.8888721622560797e-06,0.00012732345949362643,1.249000902703301e-16,1.6524906200631888e-17,-1.249000902703301e-16,0.0,-1.0039335181312525e-18,-2.168404344971009e-17
2013-02-22,19,0.576660377460176,-2.6020852139652106e-18,0.001909738916015607,0.00021075062215543383,2.829958445870187e-06,0.00014092210786045,1.1796119636642288e-16,9.098925502217886e-19,-1.1796119636642288e-16,0.0,1.2891234618506531e-17,4.336808689942018e-18
2013-03-01,19,0.5784565390431349,-6.591949208711867e-17,0.006219226497903493,0.0001947242915525134,2.8673230407933516e-06,0.00012367396424216277,4.3021142204224816e-16,5.075959695788401e-18,-4.3021142204224816e-16,0.0,5.963125804144098e-18,-1.5612511283791264e-17
2013-03-08,19,0.5705774696059045,1.3183898417423734e-16,0.01202508938444688,0.00020468650274372036,2.749441091284354e-06,0.00013381845318463588,2.636779683484747e-16,4.76227054653173e-18,2.636779683484747e-16,6.938893903907228e-18,-2.3593363307305728e-18,4.336808689942018e-18
2013-03-15,19,0.5640485648212887,8.187894806610529e-16,0.15834890313521618,0.00025357900598368596,2.2559754091883582e-06,0.00015640104730315282,1.8041124150158794e-15,-2.0793506544340368e-17,-1.8041124150158794e-15,-6.938893903907228e-17,1.964276081579683e-17,8.673617379884035e-18
