symbol,security_id,sector,latest_raw_close,median_dollar_volume_60,coverage_60,valid_observations,shortable_at_capture,eligible,reasons,membership_available_at,scope,approved_weight
AXP,49b90cdc-f6f5-4a7c-807a-ed172e6017af,Financials,311.56,876186279.6,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
PM,b19c4863-d517-4472-9236-8864e50dfa3e,Consumer Staples,188.62,864447104.02,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
NXPI,840703bb-88cd-4cac-9acd-91eba330dc8a,Information Technology,227.99,855700382.48,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
GILD,aa222c8c-5f60-4b88-bc73-7aaadf424628,Health Care,150.11,844521319.3050001,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
RTX,4d8f7f83-d998-4839-9134-38473cd13123,Industrials,194.0,815333073.625,1.0,1623,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
VLO,767ee8af-6479-44f5-8106-799120134246,Energy,413.28,813078028.185,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
MCK,73706fa6-f7b8-4919-9381-ff7377a56726,Health Care,874.65,800360027.44,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
CIEN,2ada15fb-1cf1-4241-a97b-0837322da8d6,Information Technology,348.8,795201331.9300001,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
ON,b56defb4-e3f6-4756-ba80-143862d2dda1,Information Technology,69.98,794037028.3499999,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
TMUS,7f9df478-237c-45c8-bc80-c97a53478c37,Communication,168.18,793955404.8499999,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
NEM,96da6121-b5ab-4f8b-bb53-60ae53cb5ed3,Materials,123.41,793434215.56,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
SCHW,1f868250-6f1d-4a57-9cd0-ac3f581a96e5,Financials,105.25,782790482.395,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
COF,58173a3c-c7e1-4150-b48f-1af063a88e26,Financials,202.43,782731227.3299999,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
ETN,d4806319-2c9c-48d6-bda3-aedb0178e83b,Industrials,424.77,775818558.45,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
COP,705363ac-b8c6-4d0e-9c9b-a343f3103de6,Energy,131.83,775526404.845,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
DASH,5453d1f0-0efc-4738-b1b1-d330e5910e2f,Consumer Discretionary,192.94,769084334.655,1.0,1450,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
SYK,1c8746ac-5a25-4456-95e1-970ae6ade43c,Health Care,275.12,761528731.2,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
SPGI,10f7d07f-0811-42bf-a780-b4d4cb53eb91,Financials,405.32,760173376.585,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
