symbol,security_id,sector,maximum_internal_missing_or_zero_run,excluded
FCX,75951f3e-87ac-4f58-98f3-d4fdb649d332,Materials,0,False
A,7595a8d2-68a6-46d7-910c-6b1958491f5c,Health Care,0,False
WYNN,762eca63-f335-4d9c-bfc5-83607ad4d8e9,Consumer Discretionary,0,False
AMP,764073e3-4e48-4a2c-aee2-45b0a0dfb9cc,Financials,0,False
PSX,7655b60d-17f3-4c09-88ec-88feb585487a,Energy,0,False
CEG,7658b394-4296-4b6c-b3e5-02243499faf6,Utilities,0,False
VLO,767ee8af-6479-44f5-8106-799120134246,Energy,0,False
GEHC,76875bee-ba49-437b-9d94-e4bf1277249f,Health Care,0,False
TT,7744341f-5918-44c9-bc50-6a6fc423c9ff,Industrials,0,False
FDXF,7785f942-14e8-49e4-b554-262c05fe9649,Industrials,0,False
SLB,799b9c5a-54c1-4241-ba42-0dcba7d161bb,Energy,0,False
AVGO,7a8b4fcf-0622-47ef-8541-de7f70ffc0c4,Information Technology,0,False
MCO,7ad52094-7cc2-4ed8-b324-69731dfaa79a,Financials,0,False
PEP,7b7466c4-5066-4e3e-80e6-8da1c835ce56,Consumer Staples,0,False
VTRS,7cafa08c-242c-49a3-882d-6a410c49969e,Health Care,0,False
TDY,7e17b48e-68ff-483b-8968-2df4892b4ed4,Information Technology,0,False
PGR,7e23958d-28fe-4f5e-acb0-159831a769ed,Financials,0,False
D,7ef3c3bc-854c-421a-a778-dc87a402f1d9,Utilities,0,False
PEG,7f712a83-dc6a-4d5d-bf2a-c52705a06905,Utilities,0,False
FOX,7f9bc611-ddaf-42bf-9faa-48f007b275c8,Communication,0,False
TMUS,7f9df478-237c-45c8-bc80-c97a53478c37,Communication,0,False
PLTR,80e04a93-e1a8-4503-ab61-2ef1992650b4,Information Technology,0,False
EMR,812453a9-6ec4-4edb-a1d6-7f08a987ba23,Industrials,0,False
NCLH,81f61b55-adee-402e-87d4-7b49579e2338,Consumer Discretionary,0,False
PRU,830538b2-f315-42e8-a9d6-1b12e539c5ff,Financials,0,False
NXPI,840703bb-88cd-4cac-9acd-91eba330dc8a,Information Technology,0,False
ARES,849c6721-e693-4bd9-9d04-8d924fccfc3e,Financials,0,False
AIZ,85000f80-734c-4f0c-b20a-7b7c1e9ec200,Financials,0,False
LLY,87266a27-1b34-47bd-b236-bd3a9f59b138,Health Care,0,False
KDP,88623995-d3b2-41ff-b80d-17a29c51454b,Consumer Staples,0,False
HIG,896c7f7e-0f23-490a-a7db-d68a269642bb,Financials,0,False
GEN,89815654-c60c-4b6a-ab96-80982bf4e53b,Information Technology,409,True
HST,8c16ddb4-4722-4c02-848d-e9f022ae0c35,Real Estate,0,False
TECH,8c7debd9-6b14-44e4-9052-bb2ab5690363,Health Care,0,False
TSLA,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,Consumer Discretionary,0,False
DGX,8cff8b3e-70a0-408a-8584-44c3670992a2,Health Care,0,False
FE,8dd27fb6-29cc-43ae-9aae-70edee0e2069,Utilities,0,False
DXCM,8dd538ed-bf95-4b22-a6c7-e6f01131d65d,Health Care,0,False
SRE,8deb7c67-def6-49e9-aace-9d628260a100,Utilities,0,False
CVNA,8e15f85d-62ba-4836-87d7-594a22267d47,Consumer Discretionary,0,False
HPQ,8e341794-40b2-4509-bca8-c7b6fc49eb96,Information Technology,0,False
APP,8fea5887-a5b5-4c84-87a6-0fad05130e60,Communication,0,False
ALB,90771657-de50-427a-9042-6b257dae4b7d,Materials,0,False
AEP,90e9c946-6323-49a4-be69-116f04fec288,Utilities,0,False
DELL,91ee1b57-f36c-40cf-a8b7-84583daaafc9,Information Technology,0,False
PWR,922c81b2-d99a-4a7f-bf54-6ebd6f8305bd,Industrials,0,False
YUM,932a2ac2-9eba-47f1-932a-0ce1408c3683,Consumer Discretionary,0,False
LII,93b14f86-b2ed-4d2b-ad69-490922938b5f,Industrials,0,False
UNH,943bb7c3-0fb0-4088-9a37-62549b5dc528,Health Care,0,False
FITB,94f6f5c6-861b-47fc-b208-1e7765e4a68f,Financials,0,False
EXR,95631989-09cd-4964-860e-f766dfba5081,Real Estate,0,False
LEN,95ae860b-4cf1-4dfe-9159-9bd4cd3c7915,Consumer Discretionary,0,False
NEM,96da6121-b5ab-4f8b-bb53-60ae53cb5ed3,Materials,0,False
PHM,96f6e02d-e110-40c7-bff6-ade1c0e451c4,Consumer Discretionary,0,False
FICO,9785d232-7b97-43f2-8b4b-6bfb80c0442c,Information Technology,0,False
REG,9809045e-45f8-4222-9fe3-b2bf437dd1bc,Real Estate,0,False
SYF,981f70e6-3263-46df-ae90-283910e259c8,Financials,0,False
AEE,98ce4784-3b9a-4a4f-88ec-f2db2f1e8961,Utilities,0,False
UAL,98dbc012-8ca2-4e68-b2f7-464fdc9bbf3c,Industrials,0,False
DTE,9bace756-e3ad-48de-932e-4690b2960730,Utilities,0,False
FTV,9bf5e7eb-549e-4d18-9a9e-21cc126cdde1,Industrials,0,False
HONA,9c488e0d-5ece-4791-b920-f66aa506b7ce,Industrials,0,False
HRL,9d965268-d529-4b57-b211-b544310f1b30,Consumer Staples,0,False
CSCO,9ec078b1-5167-4d3d-908c-a1e49be367f1,Information Technology,0,False
BRO,9f2f3d77-47e0-4e88-a13f-30a752b5dd5d,Financials,0,False
ALL,9f5ab4fb-335d-41ef-83d9-4d0abbd61fde,Financials,0,False
